,YM,Title
0,201801,「豪華声優陣サイン入り複製原画プレゼントキャンペーン」第6弾開始のお知らせ
1,201801,「豪華声優陣サイン入り複製原画プレゼントキャンペーン」第5弾開始のお知らせ
2,201802,ガチャメンテナンス実施のお知らせ【2018/02/28(水) 19:00 追記】
3,201802,新キャラ「ジュン」登場!!
4,201802,アップデートのお知らせ【2018/2/21(水) 13:00 公開】
5,201802,公式サイトリニューアルのお知らせ
6,201802,「探索」ドロップ量2倍キャンペーン！【2018/02/28(水) 20:00 追記】
7,201802,「プリンセスコネクト！Re:Dive リリース直前生放送」のお知らせ
8,201802,App store事前登録開始のお知らせ
9,201802,サービス開始のお知らせ【2018/03/15(木) 17:00 追記】
10,201802,事前ダウンロード開始のお知らせ
11,201802,プリンセスコネクト！Re:Dive 配信時期決定のお知らせ
12,201802,50万ダウンロード突破記念プレゼントのお知らせ
13,201802,プリンセスコネクト！Re:Dive 配信日決定のお知らせ
14,201802,Google Playで事前登録を開始！
15,201803,モンスターのステータス調整について
16,201803,「プリンセスコネクト！Re:Dive」コミックス1巻発売開始のお知らせ
17,201803,「探索」ドロップ量2倍キャンペーン！
18,201803,公式サイト限定イベント「ランドソルの大収穫」実施！
19,201803,「ハードクエスト」ドロップ量2倍キャンペーン！
20,201803,ストーリーイベント「ハツネのプレゼント大作戦！」開催！
21,201803,アップデートのお知らせ【2018/03/26(月) 12:00 公開】
22,201803,ストーリーイベント「ハツネのプレゼント大作戦！」開催決定！
23,201803,新キャラ「アリサ」登場！！
24,201803,「プリンセスコネクト！Re:Dive」キャラクターソングCD第2弾発売開始のお知らせ
25,201803,「プリンセスコネクト！Re:Dive」キャラクターソングCD配信開始！
26,201803,クランの脱退、除名や解散時の再加入制限について
27,201803,2018/03/27(火) メンテナンス終了のお知らせ
28,201803,2018/03/15(木) メンテナンス終了のお知らせ
29,201803,「クランバトルβ版」開催決定！
30,201803,「共闘」リリース！
31,201803,デイリーミッション追加決定！
32,201803,「ノーマルクエスト」ドロップ量2倍キャンペーン！
33,201803,2018/03/27(火) メンテナンスのお知らせ
34,201803,「クランバトルβ版」リリース！
35,201803,「プリンセスコネクト！Re:Diveリリース1ヶ月記念生放送」のお知らせ【2018/03/09(金) 18:00追記】
36,201803,「ダンジョン」マナドロップ量2倍キャンペーン！
37,201803,アップデートのお知らせ【2018/03/09(金) 14:25 公開】
38,201803,アップデートのお知らせ 【2018/03/15(木) 17:00 実施】
39,201803,新キャラ「リン」登場！！
40,201803,2018/03/15(木) メンテナンスのお知らせ
41,201803,100万ダウンロード突破記念プレゼントのお知らせ【2018/04/13(金) 20:30 追記】
42,201803,2018/02/28(水)に発生した一連の不具合のお詫びについて
43,201803,「探索」ドロップ量2倍キャンペーン！
44,201804,アップデートのお知らせ【2018/04/30(月) 12:00 実施】
45,201804,ノーマルガチャのリセット時間変更について
46,201804,新キャラ「キョウカ」登場！！
47,201804,2018/05/03(木)～2018/05/06(日)のサポートについて
48,201804,ストーリーイベント「リトル・リリカル・アドベンチャーズ！」開催中！
49,201804,アップデートのお知らせ【2018/04/24(火) 16:20 更新】
50,201804,ストーリーイベント「リトル・リリカル・アドベンチャーズ！」開催決定！
51,201804,アップデートのお知らせ【2018/04/26(木) 15:30 公開】
