,YM,Title
0,202009,<h4>「iOS 14」アップデートに関するご注意【2021/01/31(日) 18:05 追記】</h4>
1,202009,<h4>期間限定キャラ「ツムギ（ハロウィン）」登場！ピックアップガチャはおまけ付き！【2020/10/14(水) 21:02 追記】</h4>
2,202009,<h4>ストーリーイベント「響け！絶叫！ハロウィンゴーストフェスティバル」開催中！【2020/10/14(水) 21:02 追記】</h4>
3,202009,<h4>「ぷりこねっ！りだいぶ」第215話掲載</h4>
4,202009,<h4>「9月クランバトル」開催期間終了！【2020/09/30(水) 15:00 追記】</h4>
5,202009,<h4>「イベントクエスト」プレイヤーEXP獲得量1.5倍キャンペーン！</h4>
6,202009,<h4>iOS版において、確認している不具合について</h4>
7,202009,<h4>「探索」ドロップ量2倍キャンペーン！</h4>
8,202009,<h4>アップデートのお知らせ【2020/09/30(水) 12:00 公開】</h4>
9,202009,<h4>「ニノン」の★6才能開花が登場決定！</h4>
10,202009,<h4>「ぷりこねっ！りだいぶ」第214話掲載</h4>
11,202009,<h4>アップデートのお知らせ【2020/09/28(月) 15:50 公開】</h4>
12,202009,<h4>「ノーマルクエスト」ドロップ量2倍キャンペーン！</h4>
13,202009,<h4>「ジュエル・その他購入」に「毎日更新 ジュエル 500個」を期間限定で追加！</h4>
14,202009,<h4>「9月クランバトル」開催中！</h4>
15,202009,<h4>ストーリーイベント「響け！絶叫！ハロウィンゴーストフェスティバル」開催決定！</h4>
16,202009,<h4>復刻ストーリーイベント「リトル・ブレイブ・ハロウィンナイト！」開催終了！</h4>
17,202009,<h4>「ぷりこねっ！りだいぶ」第213話掲載</h4>
18,202009,<h4>サイドストーリーにストーリーイベント「トリックオアプリン！約束のハロウィンパーティー」を追加！</h4>
19,202009,<h4>「ハードクエスト」ドロップ量2倍キャンペーン！</h4>
20,202009,<h4>「聖跡調査」「神殿調査」ドロップ量2倍キャンペーン！</h4>
21,202009,<h4>「9月ルナの塔」開催中！【2020/09/19(土) 17:25 追記】</h4>
22,202009,<h4>新キャラ「ヨリ（エンジェル）」登場！ピックアップガチャはおまけ付き！</h4>
23,202009,<h4>「★3確定プラチナガチャ」開催！対象キャラにはおまけ付き！</h4>
24,202009,<h4>「9月クランバトル」開催決定！</h4>
25,202009,<h4>一部ショップのラインナップに装備アイテムを追加！</h4>
26,202009,<h4>マスターショップに「ラビリスタ」「キョウカ（ハロウィン）」のメモリーピースを追加！</h4>
27,202009,<h4>ギルドハウスに期間限定で家具を復刻！</h4>
28,202009,<h4>iOS版において、ジュエルを購入できない現象について</h4>
29,202009,<h4>メモリアルサウンドボックスに新しいBGMを追加！</h4>
30,202009,<h4>アップデートのお知らせ【2020/09/19(土) 15:00 公開】</h4>
31,202009,<h4>2020/09/18(金)メンテナンス終了のお知らせ</h4>
32,202009,<h4>2020/09/18(金)メンテナンス実施のお知らせ</h4>
33,202009,<h4>アップデートのお知らせ【2020/09/18(金) 20:30 公開】</h4>
34,202009,<h4>復刻ストーリーイベント「リトル・ブレイブ・ハロウィンナイト！」開催中！【2020/09/17(木) 15:33 追記】</h4>
35,202009,<h4>「リトル・ブレイブ・ハロウィンナイト！　復刻記念RTキャンペーン」開催</h4>
36,202009,<h4>「9月クランバトル」モード変更開始！</h4>
37,202009,<h4>「ぷりこねっ！りだいぶ」第212話掲載</h4>
38,202009,<h4>「復刻イベントクエスト」プレイヤーEXP獲得量1.5倍キャンペーン！</h4>
39,202009,<h4>ガチャの［キャラ詳細］において、一部キャラのステータスが正常に表記されない不具合について</h4>
40,202009,<h4>「ノーマルクエスト」ドロップ量2倍キャンペーン！</h4>
41,202009,<h4>新キャラ「アカリ（エンジェル）」登場！ピックアップガチャはおまけ付き！【2020/09/14(月) 21:01 追記】</h4>
42,202009,<h4>ストーリーイベント「ハッピー・チェンジ・エンジェルズ」開催終了！【2020/09/15(火) 15:37 追記】</h4>
43,202009,<h4>Twitterトレンドキャンペーンプレゼントのお知らせ</h4>
44,202009,<h4>復刻ストーリーイベント「リトル・ブレイブ・ハロウィンナイト！」開催決定！</h4>
45,202009,<h4>「ハロウィンプライズガチャ」開催！期間限定キャラ再登場！</h4>
46,202009,<h4>#プリコネ初心者講座 ツイート協力への感謝プレゼントのお知らせ</h4>
47,202009,<h4>「探索」ドロップ量2倍キャンペーン！</h4>
48,202009,<h4>キャラ専用装備追加決定！</h4>
49,202009,<h4>「ハードクエスト」ドロップ量2倍キャンペーン！</h4>
50,202009,<h4>「Android 11.0」アップデートに関するご注意</h4>
51,202009,<h4>キャラ専用装備追加！</h4>
52,202009,<h4>「ぷりこねっ！りだいぶ」第211話掲載</h4>
53,202009,<h4>「ダンジョン」マナドロップ量2倍キャンペーン！</h4>
54,202009,<h4>アニメ Blu-ray「プリンセスコネクト！Re:Dive 2」発売のお知らせ【2020/09/07(月) 12:18 追記】</h4>
55,202009,<h4>「聖跡調査」「神殿調査」ドロップ量2倍キャンペーン！</h4>
56,202009,<h4>「サレン」「アキノ」の★6才能開花が登場！</h4>
57,202009,<h4>「9月ルナの塔」開催決定！</h4>
58,202009,<h4>アップデートのお知らせ【2020/09/07(月) 12:00 公開】</h4>
59,202009,<h4>「ノーマルクエスト」ドロップ量2倍キャンペーン！</h4>
60,202009,<h4>「ぷりこねっ！りだいぶ」第210話掲載</h4>
61,202009,<h4>「ぷりこねっ！りだいぶ」第209話掲載</h4>
